DEPARTAMENTO;MUNICIPIO;ZONA;PUESTO;NOMBRE PUESTO DE VOTACION;MESA;BARRIO;ESTRATO;URBANO/RURAL;MOVIMIENTO DE SALVACION NACIONAL;GENTE EN MOVIMIENTO;WILDER IBERSON ESCOBAR ORTIZ;JUAN CARLOS HENAO VALENCIA;CLAUDIA PATRICIA ECHEVERRY BEDOYA;JUANITA ESPELETA NOREÑA;TULIA ELENA HERNANDEZ BURBANO;PACTO HISTÓRICO Y VERDES;SANTIAGO OSORIO MARIN;DIANA MARCELA ALVAREZ VALENCIA;UBALDO GONZALEZ ARIAS;VICTOR HUGO ZULUAGA RAVE;ERIKA JOHANA SANCHEZ CARDONA;COAL. PARTIDOS CAMBIO RADICAL Y COLOMBIA JUSTA LIB RES;HECTOR ALBERTO GIRALDO QUINTERO;MILTON IVAN TIBADUIZA MARIN;GLADYS GALEANO MARTINEZ;PAULA ANDREA GARCIA DIAZ;MILTON GUTIERREZ NAVARRETE;PARTIDO CONSERVADOR COLOMBIANO;FELIX ALEJANDRO CHICA CORREA;LUISA FERNANDA BARRIGA FRANCO;JUANA CAROLINA LONDOÑO JARAMILLO;JORGE HERNAN YEPES ALZATE;PARTIDO CENTRO DEMOCRÁTICO;LUIS FERNANDO GOMEZ BETANCURT;JENNY VASCO MONTOYA;JESUS IVAN OSPINA ATEHORTUA;ANGELA MARIA ZULUAGA TREJOS;CRISTIAN JIOVANY VALENCIA GRISALES;COALICIÓN JUNTOS POR CALDAS;JUAN SEBASTIAN GOMEZ GONZALES;CLAUDIA LORENA PINILLA MARTINEZ;CAMILO SALAZAR RAMIREZ;GLORIA PATRICIA GIL BEDOYA;HUGO ALBERTO POVEDA CASTAÑEDA;"PARTIDO DE LA UNIÓN POR LA GENTE ""PARTIDO DE LA U""";MARINO MURILLO FRANCO;MARIA LUISA GONZALEZ GALVIS;HECTOR ARBEY OSORIO OCAMPO;YELILE AGUIRRE VALENCIA;JUAN FELIPE ALVAREZ CASTRO;PARTIDO LIBERAL COLOMBIANO;JOSE OCTAVIO CARDONA LEON;MARTHA LLANETH ALVAREZ SALAZAR;ANDRES FELIPE BETANCOURTH LOPEZ;JUAN CAMILO ALDANA MORALES;EVELIN PINEDA DIAZ;VOTOS EN BLANCO;VOTOS NULOS;VOTOS NO MARCADOS
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;1;;;URBANO;0;0;12;0;0;0;1;0;5;1;0;0;0;0;0;0;0;0;0;7;9;2;1;2;7;9;0;0;0;0;0;3;2;0;0;0;1;3;0;1;0;2;8;8;2;18;0;1;3;8;10
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;2;;;URBANO;0;2;14;0;1;0;0;3;10;2;0;0;0;0;0;1;0;2;0;5;7;4;13;3;11;4;0;3;0;0;3;7;8;1;0;1;0;7;0;0;0;2;5;12;7;33;0;0;8;28;10
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;3;;;URBANO;0;1;10;0;1;0;0;4;4;1;1;1;0;0;2;0;0;1;0;8;6;1;1;4;5;5;0;6;0;1;0;7;7;2;0;0;2;4;1;1;0;2;5;14;5;30;1;2;4;25;20
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;4;;;URBANO;0;0;6;2;0;0;0;5;5;1;1;0;2;0;0;0;0;0;0;4;7;3;3;3;10;9;0;5;0;1;2;9;3;2;0;0;0;3;1;1;0;0;6;9;3;23;0;0;7;21;18
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;5;;;URBANO;0;1;9;0;2;0;0;5;3;1;0;0;0;0;1;0;0;1;1;2;4;2;5;1;2;1;1;3;0;1;2;6;13;1;1;0;2;9;0;0;0;1;5;8;4;20;2;2;5;15;12
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;6;;;URBANO;2;1;15;1;0;0;0;3;2;1;2;0;0;0;0;0;2;2;1;2;4;1;3;2;6;4;1;1;1;0;6;9;2;2;0;0;2;2;1;0;0;1;3;5;8;31;0;1;11;21;11
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;7;;;URBANO;0;0;10;0;2;0;0;2;4;2;0;0;0;0;1;0;0;4;0;5;6;2;5;3;2;4;0;1;1;0;0;7;5;2;0;0;0;7;1;2;0;1;9;11;1;26;0;0;7;7;13
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;8;;;URBANO;0;2;18;0;0;0;1;3;7;0;3;0;1;0;1;0;0;5;1;3;8;6;4;4;7;3;1;5;1;2;2;10;2;2;1;0;3;2;0;0;0;2;5;18;5;33;3;1;9;15;10
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;9;;;URBANO;1;2;20;0;4;1;0;2;2;0;1;0;0;0;2;0;1;2;0;4;11;5;4;5;6;11;0;0;2;0;2;11;11;2;0;1;1;4;0;0;0;3;3;15;3;40;0;0;4;32;12
CALDAS;AGUADAS;0;1;COLISEO CUBIERTO CAMBUMBIA;10;;;URBANO;0;0;10;0;1;1;1;3;3;1;0;0;0;0;1;1;0;4;0;6;10;3;7;8;5;4;0;2;0;0;1;13;12;7;0;1;1;7;0;0;0;3;4;11;7;39;0;0;10;33;11
